[Metadata]
Title: Kyoufuu All Back
Artist: Yukopi
Creator: Corgo
Version: Easy
Length: 136
Scroll Speed: 0.40
BPM: 135
Audio Lead In: 445
Image Path: song_folder/Kyoufuu All Back-Easy-Corgo/Kyoufuu_All_Back.webp
Audio Path: song_folder/Kyoufuu All Back-Easy-Corgo/Yukopi_-_強風オールバック_(feat.歌愛ユキ)_320k.ogg

// Hit Object Ordering
// 3-key configuration (1-3), hold duration, time position,
[HitObjects]
1, 0, 444
2, 0, 444
3, 0, 444
2, 0, 778
2, 0, 889
3, 0, 1111
2, 0, 1333
1, 0, 1556
2, 0, 1778
3, 0, 2222
3, 0, 2445
2, 0, 2667
2, 0, 2889
1, 0, 3111
1, 0, 3333
2, 0, 3333
3, 0, 3333
1, 0, 3556
2, 0, 3556
3, 0, 3556
3, 0, 4000
3, 0, 4445
2, 0, 4667
1, 0, 4889
1, 0, 5111
2, 0, 5333
3, 0, 5556
3, 0, 5778
2, 0, 6000
3, 0, 6222
2, 0, 6445
3, 0, 6667
1, 0, 7111
1, 0, 7556
1, 0, 8000
2, 0, 8222
3, 0, 8445
3, 0, 8667
2, 0, 8889
3, 0, 9333
2, 0, 9556
1, 0, 9778
2, 0, 10000
1, 0, 10222
1, 0, 10445
2, 0, 10445
3, 0, 10445
1, 0, 10667
2, 0, 10667
3, 0, 10667
3, 0, 11111
2, 0, 11556
3, 0, 11445
2, 0, 11889
1, 0, 12000
1, 0, 12222
2, 0, 12445
3, 0, 12667
2, 0, 12889
2, 0, 13333
3, 0, 13222
2, 0, 13556
1, 0, 13778
2, 0, 14222
1, 0, 14667
2, 0, 14667
2, 0, 18222
3, 0, 18222
1, 0, 21778
3, 0, 21778
1, 0, 25333
3, 0, 25333
2, 0, 25333
2, 0, 28889
3, 0, 29556
2, 0, 29778
1, 0, 30445
1, 0, 30667
2, 0, 30889
2, 0, 31111
3, 0, 31333
2, 0, 31556
3, 0, 33333
2, 0, 34000
3, 0, 34222
2, 0, 34445
3, 0, 34667
2, 0, 34889
1, 0, 35111
1, 0, 36000
1, 0, 36445
2, 0, 36667
3, 0, 36889
3, 0, 37778
2, 0, 38000
1, 0, 38222
2, 0, 38445
1, 0, 38667
1, 0, 40889
3, 0, 41333
3, 0, 41556
2, 0, 41778
2, 0, 42000
1, 0, 42222
1, 0, 43111
1, 0, 43778
2, 0, 44000
3, 0, 44667
2, 0, 44889
3, 0, 45111
1, 0, 45333
2, 0, 45556
1, 0, 45778
2, 0, 47556
3, 0, 48222
2, 0, 48445
2, 0, 48667
3, 0, 48889
3, 0, 49111
2, 0, 49333
2, 0, 50222
2, 0, 50667
1, 0, 50889
2, 0, 51111
2, 0, 51778
3, 0, 52000
3, 0, 52222
2, 0, 52445
3, 0, 52667
3, 0, 52889
3, 0, 53778
2, 0, 54000
3, 0, 54222
2, 0, 54445
3, 0, 54667
3, 0, 55111
2, 0, 54889
2, 0, 55333
1, 0, 55556
1, 0, 57333
2, 0, 57778
3, 0, 58111
2, 0, 58222
3, 0, 58445
2, 0, 58667
2, 0, 57667
2, 0, 59111
2, 0, 59333
1, 0, 59556
1, 0, 59778
2, 0, 60000
3, 0, 60222
2, 0, 60222
1, 0, 60222
1, 0, 60445
2, 0, 60445
3, 0, 60445
3, 0, 60889
1, 0, 61222
2, 0, 61333
3, 0, 61556
2, 0, 61778
2, 0, 62222
1, 0, 62445
2, 0, 62667
2, 0, 62889
1, 0, 63111
2, 0, 63333
1, 0, 63556
3, 0, 64000
2, 0, 64445
2, 0, 64889
2, 0, 65111
1, 0, 65333
2, 0, 65556
2, 0, 65778
3, 0, 66222
3, 0, 66445
2, 0, 66667
3, 0, 66889
3, 0, 67111
3, 0, 67333
2, 0, 67333
1, 0, 67333
1, 0, 67556
2, 0, 67556
3, 0, 67556
3, 0, 68000
3, 0, 68333
2, 0, 68445
2, 0, 68778
1, 0, 68889
2, 0, 69111
3, 0, 69333
1, 0, 69556
3, 0, 69778
3, 0, 70111
3, 0, 70222
2, 0, 70445
1, 0, 70667
1, 0, 71556
2, 0, 71556
2, 0, 73333
3, 0, 73333
1, 0, 75111
2, 0, 75111
2, 0, 75556
3, 0, 75556
2, 0, 76000
1, 0, 76000
2, 0, 76445
3, 0, 76445
1, 0, 76889
2, 0, 76889
2, 0, 77333
3, 0, 77333
2, 0, 77778
1, 0, 77778
3, 0, 77778
3, 0, 78222
2, 0, 78222
1, 0, 78222
1, 0, 82222
2, 0, 82222
3, 0, 85778
3, 0, 86111
2, 0, 86222
2, 0, 86445
1, 0, 86667
1, 0, 86889
2, 0, 87111
3, 0, 87556
3, 0, 87778
2, 0, 88000
3, 0, 88222
3, 0, 88445
3, 0, 88667
2, 0, 88667
1, 0, 88667
1, 0, 88889
2, 0, 88889
3, 0, 88889
3, 0, 89333
2, 0, 89778
3, 0, 89667
1, 0, 90000
2, 0, 90222
1, 0, 90667
1, 0, 90889
2, 0, 91111
2, 0, 91333
1, 0, 91556
1, 0, 91778
2, 0, 92000
3, 0, 92445
3, 0, 92889
